20 29
1 1 0.8007782562113603 0.16850480033707738 0.0 
2 1 0.5748546721716176 0.4479383783602905 0.0 
3 0 0.6431754194052071 0.28409012436575565 0.0 
4 1 0.7495073324054422 0.20847538760361228 0.0 
5 0 0.9068938264430073 0.10862287987185193 0.0 
6 0 0.21860922812390615 0.8446113234448396 0.0 
7 0 0.012897925865108961 0.31607111344584093 0.0 
8 0 0.15215841301223487 0.7378494368020144 0.0 
9 0 0.1214959833683259 0.7113542336953587 0.0 
10 1 0.06245243353747443 0.021834019037121455 0.0 
11 0 0.5469334694351845 0.09035097770527678 0.0 
12 0 0.34743900854669907 0.18955144015304382 0.0 
13 0 0.5233094675055965 0.2012064593992825 0.0 
14 0 0.1282759424445128 0.42406799877730783 0.0 
15 1 0.9733557956266735 0.11070077214254304 0.0 
16 0 0.6901660033959867 0.25295446292538304 0.0 
17 0 0.9234773481659563 0.6202403347649686 0.0 
18 0 0.6667877461630273 0.9203412976993686 0.0 
19 1 0.7352879481630212 0.7771692512054814 0.0 
20 0 0.49720194474631507 0.9179545200660651 0.0 

1-3 1
1-4 1
1-5 1
1-15 1
1-16 1
2-3 1
2-16 1
3-4 1
3-11 1
3-13 1
3-16 1
4-5 1
4-11 1
4-13 1
4-15 1
4-16 1
5-15 1
6-8 1
6-9 1
7-14 1
8-9 1
11-12 1
11-13 1
11-16 1
12-13 1
13-16 1
17-19 1
18-19 1
18-20 1
